Currency|Ticker|Country|Industry
USD|BSTC|UNITED STATES|Pharmaceuticals
USD|ATRS|UNITED STATES|Pharmaceuticals
USD|HPQ|UNITED STATES|Computers
USD|AGNC|UNITED STATES|REITS
USD|AA|UNITED STATES|Mining
USD|B|UNITED STATES|Miscellaneous Manufactur
USD|ESI|UNITED STATES|Commercial Services
USD|CRMT|UNITED STATES|Retail
USD|ATSG|UNITED STATES|Transportation
USD|CNS|UNITED STATES|Diversified Finan Serv
USD|GM|UNITED STATES|Auto Manufacturers
USD|CTIC|UNITED STATES|Biotechnology
USD|EVR|UNITED STATES|Diversified Finan Serv
USD|COHR|UNITED STATES|Electronics
USD|AERI|UNITED STATES|Pharmaceuticals
USD|JNJ|UNITED STATES|Pharmaceuticals
USD|CTO|UNITED STATES|Real Estate
USD|CTRE|UNITED STATES|REITS
USD|FRAN|UNITED STATES|Retail
USD|DCO|UNITED STATES|Aerospace/Defense
USD|CTS|UNITED STATES|Electronics
USD|AIMC|UNITED STATES|Machinery-Diversified
USD|PRO|UNITED STATES|Software
USD|EBF|UNITED STATES|Commercial Services
USD|CAC|UNITED STATES|Banks
USD|COP|UNITED STATES|Oil&Gas
USD|AXDX|UNITED STATES|Healthcare-Products
USD|AEL|UNITED STATES|Insurance
USD|CENX|UNITED STATES|Mining
USD|CEVA|UNITED STATES|Semiconductors
USD|ETM|UNITED STATES|Media
USD|MRK|UNITED STATES|Pharmaceuticals
USD|AGEN|UNITED STATES|Biotechnology
USD|CHDN|UNITED STATES|Entertainment
USD|IBM|UNITED STATES|Computers
USD|CYTK|UNITED STATES|Biotechnology
USD|CRUS|UNITED STATES|Semiconductors
USD|CORE|UNITED STATES|Distribution/Wholesale
USD|CLI|UNITED STATES|REITS
USD|CNBKA|UNITED STATES|Banks
USD|CARA|UNITED STATES|Pharmaceuticals
USD|ARNA|UNITED STATES|Biotechnology
USD|DOC|UNITED STATES|REITS
USD|DJCO|UNITED STATES|Media
USD|SO|UNITED STATES|Electric
USD|EVER|UNITED STATES|Savings&Loans
USD|HD|UNITED STATES|Retail
USD|FICO|UNITED STATES|Software
USD|AROW|UNITED STATES|Banks
USD|AXAS|UNITED STATES|Oil&Gas
