Ticker|Date|Price|Volume
BSTC|2020-01-02|57|35664
BSTC|2020-01-03|56.58|30178
BSTC|2020-01-06|56.21|43898
BSTC|2020-01-07|53.99|59373
BSTC|2020-01-08|54.66|97681
BSTC|2020-01-09|54.64|60774
BSTC|2020-01-10|55.1|79230
BSTC|2020-01-13|54.6|29223
BSTC|2020-01-14|55.6|47919
BSTC|2020-01-15|55.87|38515
BSTC|2020-01-16|57.05|42536
BSTC|2020-01-17|57.12|49439
BSTC|2020-01-21|58.8|53392
BSTC|2020-01-22|59.08|52993
BSTC|2020-01-23|58.13|22063
BSTC|2020-01-24|56.6|31035
BSTC|2020-01-27|56.5|36663
BSTC|2020-01-28|57.96|38711
BSTC|2020-01-29|58.43|38966
BSTC|2020-01-30|59.08|41256
BSTC|2020-01-31|59.08|63948
BSTC|2020-02-03|59.14|36546
BSTC|2020-02-04|59.1|51229
BSTC|2020-02-05|62.78|75122
BSTC|2020-02-06|63.57|52302
BSTC|2020-02-07|63.25|38802
BSTC|2020-02-10|64.9|32096
BSTC|2020-02-11|63.92|20701
BSTC|2020-02-12|65.34|29783
BSTC|2020-02-13|65.58|21369
BSTC|2020-02-14|65.07|20638
BSTC|2020-02-18|64.87|34178
BSTC|2020-02-19|64.68|35799
BSTC|2020-02-20|64.21|22241
BSTC|2020-02-21|64.06|40041
BSTC|2020-02-24|61.31|43435
BSTC|2020-02-25|58.76|72024
BSTC|2020-02-26|60|46469
BSTC|2020-02-27|58|40282
BSTC|2020-02-28|55.19|81767
BSTC|2020-03-02|57.03|37029
BSTC|2020-03-03|57.02|31088
BSTC|2020-03-04|59.39|30603
BSTC|2020-03-05|57.51|32241
BSTC|2020-03-06|57.86|34730
BSTC|2020-03-09|56.5|40302
BSTC|2020-03-10|56.71|62747
BSTC|2020-03-11|55.93|33928
BSTC|2020-03-12|53.03|68313
BSTC|2020-03-13|55.62|94279
BSTC|2020-03-16|47.01|60981
BSTC|2020-03-17|49.81|151426
BSTC|2020-03-18|44.01|113022
BSTC|2020-03-19|47.36|78499
BSTC|2020-03-20|44.47|100597
BSTC|2020-03-23|44.01|86316
BSTC|2020-03-24|48.93|45204
BSTC|2020-03-25|49.8|34009
BSTC|2020-03-26|53.09|44972
BSTC|2020-03-27|51.5|33364
BSTC|2020-03-30|54.29|69710
BSTC|2020-03-31|56.57|84309
BSTC|2020-04-01|53.46|48549
BSTC|2020-04-02|55.93|35821
BSTC|2020-04-03|52.6|38639
BSTC|2020-04-06|55.99|41649
BSTC|2020-04-07|54.6|27161
BSTC|2020-04-08|56.39|36271
BSTC|2020-04-09|58.38|53689
|||
BSTC|2020-04-13|57|31308
BSTC|2020-04-14|54.45|58003
BSTC|2020-04-15|52.53|48187
BSTC|2020-04-16|52.93|46876
BSTC|2020-04-17|52.33|49285
BSTC|2020-04-20|52.94|25237
BSTC|2020-04-21|51.55|21986
BSTC|2020-04-22|52.3|17473
BSTC|2020-04-23|54.07|33126
BSTC|2020-04-24|55.58|34248
BSTC|2020-04-27|56.6|46681
BSTC|2020-04-28|57.34|40302
BSTC|2020-04-29|59.34|51723
BSTC|2020-04-30|56.91|20196
BSTC|2020-05-01|55.63|28052
BSTC|2020-05-04|56.09|33825
BSTC|2020-05-05|55.58|32088
BSTC|2020-05-06|56.87|42449
BSTC|2020-05-07|57.11|30149
BSTC|2020-05-08|56.95|37965
BSTC|2020-05-11|58.37|29802
BSTC|2020-05-12|56.3|37671
BSTC|2020-05-13|56.8|31703
BSTC|2020-05-14|55.09|30866
BSTC|2020-05-15|57.3|22429
BSTC|2020-05-18|57.64|42367
BSTC|2020-05-19|57.27|21289
BSTC|2020-05-20|57.87|14976
BSTC|2020-05-21|57.55|15046
BSTC|2020-05-22|57.94|14697
BSTC|2020-05-26|59.51|38893
BSTC|2020-05-27|61.2|32886
BSTC|2020-05-28|63.72|71592
BSTC|2020-05-29|62.2|48963
BSTC|2020-06-01|58.99|35496
BSTC|2020-06-02|58.37|19805
BSTC|2020-06-03|58.52|17817
BSTC|2020-06-04|59.03|25378
BSTC|2020-06-05|60.06|34483
BSTC|2020-06-08|60.92|33819
BSTC|2020-06-09|60.45|39156
BSTC|2020-06-10|64.22|83023
BSTC|2020-06-11|59.97|49094
BSTC|2020-06-12|61.21|124005
BSTC|2020-06-15|62.58|41396
BSTC|2020-06-16|63.14|33430
BSTC|2020-06-17|60.56|43425
BSTC|2020-06-18|61.36|24769
BSTC|2020-06-19|60.58|55095
BSTC|2020-06-22|61.81|19682
BSTC|2020-06-23|61.44|19909
BSTC|2020-06-24|60.21|30085
BSTC|2020-06-25|61.53|21165
BSTC|2020-06-26|58.52|88562
BSTC|2020-06-29|58.98|26906
BSTC|2020-06-30|61.28|45849
BSTC|2020-07-01|63.3|48502
BSTC|2020-07-02|62.42|41396
BSTC|2020-07-06|62.31|41504
BSTC|2020-07-07|66.71|89657
BSTC|2020-07-08|66.04|43704
BSTC|2020-07-09|64.05|20863
BSTC|2020-07-10|63.21|27297
BSTC|2020-07-13|63.03|30618
BSTC|2020-07-14|65.55|38862
BSTC|2020-07-15|66.66|44979
BSTC|2020-07-16|66.41|35057
BSTC|2020-07-17|67.15|22775
BSTC|2020-07-20|66.96|20682
BSTC|2020-07-21|65.07|27707
BSTC|2020-07-22|63.4|40127
BSTC|2020-07-23|63.39|22275
BSTC|2020-07-24|62.46|17036
BSTC|2020-07-27|63.51|15073
BSTC|2020-07-28|63|31710
BSTC|2020-07-29|62.51|20199
BSTC|2020-07-30|63.35|24411
BSTC|2020-07-31|62.66|35887
BSTC|2020-08-03|64.31|27393
BSTC|2020-08-04|65.01|46740
BSTC|2020-08-05|64.52|33980
BSTC|2020-08-06|64.01|17770
BSTC|2020-08-07|65.53|21092
BSTC|2020-08-10|67.9|36951
BSTC|2020-08-11|63.77|37200
BSTC|2020-08-12|64.6|24625
BSTC|2020-08-13|66.8|34400
BSTC|2020-08-14|64.76|25296
BSTC|2020-08-17|66.74|23238
BSTC|2020-08-18|65.51|18793
BSTC|2020-08-19|66.92|34206
BSTC|2020-08-20|67.06|23698
BSTC|2020-08-21|65.16|26596
BSTC|2020-08-24|65.11|16607
BSTC|2020-08-25|65.75|24527
BSTC|2020-08-26|64.72|21403
BSTC|2020-08-27|63.29|26634
BSTC|2020-08-28|64.28|27255
BSTC|2020-08-31|64.5|31017
BSTC|2020-09-01|62.24|40645
BSTC|2020-09-02|62.64|32752
BSTC|2020-09-03|60.42|33685
BSTC|2020-09-04|58.61|32132
BSTC|2020-09-08|56.13|63139
BSTC|2020-09-09|55.87|101968
BSTC|2020-09-10|55.03|55877
BSTC|2020-09-11|54.49|42851
BSTC|2020-09-14|54.91|27828
BSTC|2020-09-15|55.32|22959
BSTC|2020-09-16|55.24|24342
BSTC|2020-09-17|55.59|19631
BSTC|2020-09-18|56.79|68743
BSTC|2020-09-21|53.51|47883
BSTC|2020-09-22|53.69|40018
BSTC|2020-09-23|53.75|40418
BSTC|2020-09-24|52.38|41166
BSTC|2020-09-25|51.94|21186
BSTC|2020-09-28|52.6|24074
BSTC|2020-09-29|52.61|12356
BSTC|2020-09-30|52.83|38246
BSTC|2020-10-01|53|22961
BSTC|2020-10-02|52.5|24980
BSTC|2020-10-05|54.59|23050
BSTC|2020-10-06|56.98|37579
BSTC|2020-10-07|59.08|70622
BSTC|2020-10-08|59.1|36117
BSTC|2020-10-09|60.41|18457
BSTC|2020-10-13|63.45|56702
BSTC|2020-10-14|60.55|22766
BSTC|2020-10-15|61.28|24492
BSTC|2020-10-16|61.02|18026
BSTC|2020-10-19|88.69|1624556
BSTC|2020-10-20|88.85|537481
BSTC|2020-10-21|88.3|312860
BSTC|2020-10-22|88.12|169663
BSTC|2020-10-23|88.16|167962
BSTC|2020-10-26|88.16|194772
BSTC|2020-10-27|88.15|157961
BSTC|2020-10-28|88.14|211678
BSTC|2020-10-29|88.14|160817
BSTC|2020-10-30|88.1|186560
BSTC|2020-11-02|88.18|207483
BSTC|2020-11-03|88.18|110359
BSTC|2020-11-04|88.35|302728
BSTC|2020-11-05|88.26|133445
BSTC|2020-11-06|88.22|105768
BSTC|2020-11-09|88.22|151900
BSTC|2020-11-10|88.31|126991
BSTC|2020-11-12|88.3|115154
BSTC|2020-11-13|88.34|109497
BSTC|2020-11-16|88.32|109298
BSTC|2020-11-17|88.34|85859
